"BRANCH_ID","LEGEL_NAME","ADDRESS_ID","PHONE_ID","FORM_TYPE_ID","COMMENTS","ORG_ID","MAIN_BRANCH","FACT_NAME"
4003,"№13 Детский сад",4042,6504,29,"",4206,1,"№13 Детский сад"
4010,"№16 Детский сад компенсирующего вида для детей с нарушениями слуха МДОУ ",4049,6511,29,"",4213,1,"№16 Детский сад компенсирующего вида для детей с нарушениями слуха"
4016,"№19 Центр развития ребёнка — детский сад",4055,6518,29,"",4220,1,"№19 Центр развития ребёнка — детский сад"
4020,"№21 Детский сад",4059,6522,29,"",4224,1,"№21 Детский сад"
25362,"Limousin Steak House",25072,,5,"",21478,1,"Limousin Steak House"
4048,"Трусова Е.В.",4087,6556,7,"",4258,1,"Парикмахерская   "
4049,"Топ Левел",4088,6558,15,"",4259,1,"Top Level"
4057,"Швецов А.А.",4096,24503,7,"",4267,1,"Стройэлемент"
4059,"Геаль-Строй",4098,9716,5,"",4269,1,"Геаль-Строй"
4060,"Альфа-пласт",4099,6579,5,"",4270,1,"Альфа-пласт"
4062,"Чаус И.И.",4101,6581,7,"",4273,1,"Доктрина"
25484,"Тута Групп ГК",25194,,5,"",16755,0,"Малино"
25609,"Школьник",25319,,5,"",21684,1,"Школьник"
4085,"Интерьер",4124,6611,5,"",4298,1,"Интерьер"
4087,"ПетроСам",4126,6613,5,"",4299,1,"ПетроСам"
4093,"Кирюхина Л.А.",4132,6620,7,"",4305,1,"Нотариус Кирюхина Л.А."
4258,"Света",4297,6836,5,"",4482,1,"Света"
4269,"Янтарьэнерго",4308,6847,6,"",4495,1,"Энергоремонт филиал ОАО Янтарьэнерго"
4271,"Нерон",4310,,5,"",4496,1,"Белый клык — ветеринарная клиника"
4277,"Лазовская Н.Н.",4316,6858,7,"",4503,1,"Автостекла "
4283,"Агропромэнергосервис",4322,,5,"",4510,1,"Агропромэнергосервис"
25642,"Грицюк Е.О.",25352,,7,"",7484,0,"Аскорбинка"
4293,"Ермольчик В.В.",4332,6880,7,"",4519,1,"Ермольчик В.В. ИП"
4300,"Балтмонтажсервис",4339,17484,5,"",4527,1,"НЕДОЗВОН/Балтмонтажсервис ООО"
3765,"№26 Средняя общеобразовательная школа",3804,6189,16,"",3945,1,"№26 Средняя общеобразовательная школа"
3780,"№31 Средняя общеобразовательная школа",3819,6206,16,"",3959,1,"№31 Средняя общеобразовательная школа"
3783,"№33 Средняя общеобразовательная школа",3822,6209,16,"",3962,1,"№33 Средняя общеобразовательная школа"
3843,"Янтарь",3882,18725,16,"",4025,1,"Янтарь Дворец творчества детей и молодёжи "
3883,"Московские конфеты",3922,6353,5,"",4072,0,"Московские конфеты"
