"RUB_ID","NAME"
111,"МОБИЛЬНЫЕ ТЕЛЕФОНЫ: ПРОДАЖА, АКСЕССУАРЫ"
112,"МОДЕЛЬНЫЕ АГЕНТСТВА"
113,"МОЛОКО И МОЛОЧНЫЕ ПРОДУКТЫ"
114,"МОТОРНЫЕ ЛОДКИ, КАТЕРА, ЯХТЫ"
115,"МУЗЫКАЛЬНЫЕ ИНСТРУМЕНТЫ"
116,"МУСОР, ВЫВОЗ"
117,"МЯСО И МЯСОПРОДУКТЫ"
118,"НАДГРОБНЫЕ ПАМЯТНИКИ И ПЛИТЫ"
119,"НАПИТКИ АЛКОГОЛЬНЫЕ  И СЛАБОАЛКОГОЛЬНЫЕ"
121,"НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ"
122,"НАУКА, МАТЕРИАЛЫ И ОБОРУДОВАНИЕ"
123,"НЕДВИЖИМОСТЬ"
124,"НЕФТЕПРОДУКТЫ"
125,"НИЖНЕЕ БЕЛЬЕ"
127,"ОБУВЬ: ИЗГОТОВЛЕНИЕ И РЕМОНТ"
128,"ОБУВЬ: ПРОДАЖА"
130,"ОДЕЖДА РАБОЧАЯ"
131,"АТЕЛЬЕ"
132,"ОДЕЖДА: ПРОДАЖА"
134,"ОКНА, ОКОННАЯ ФУРНИТУРА"
135,"ОПТИКА"
136,"ОРГАНИЗАЦИЯ ПРАЗДНИКОВ, ТОРЖЕСТВ"
137,"ОРУЖИЕ"
138,"ОСВЕТИТЕЛЬНЫЕ ПРИБОРЫ"
139,"ОСНАЩЕНИЕ, ОБСЛУЖИВАНИЕ СУДОВ"
140,"ОТДЕЛОЧНЫЕ МАТЕРИАЛЫ"
141,"ОТОПЛЕНИЕ И ОТОПИТЕЛЬНОЕ ОБОРУДОВАНИЕ"
142,"ОФИСНЫЕ ЦЕНТРЫ"
409,"ТАТУ САЛОНЫ"
404,"АУТСОРСИНГ"
405,"АТТЕСТАЦИЯ РАБОЧИХ МЕСТ"
406,"ЛАБОРАТОРИИ: ИНСТРУМЕНТЫ И ОБОРУДОВАНИЕ"
407,"ПУНКТЫ ТЕХНИЧЕСКОГО ОСМОТРА"
410,"ТИПОГРАФИИ"
412,"ХУДОЖЕСТВЕННЫЕ САЛОНЫ, АКСЕССУАРЫ"
408,"МОБИЛЬНЫЕ ТЕЛЕФОНЫ: СЕРВИС"
411,"ТАНЦЕВАЛЬНЫЕ ШКОЛЫ, СТУДИИ, КЛУБЫ"
