"BRANCH_ID","PHONE_ID","NAME","FAX","DIRECTOR","CONTACT","DESCRIPTION","PUBLISHABLE","MOBILE","MOBILE_PREFIX"
24319,42939,"2944850",0,0,0,"",0,1,963
21839,37446,"31744",0,0,0,"",0,,
26974,49008,"525020",0,0,0,"",1,,
24321,42941,"328600",0,0,0,"",1,,
24321,42942,"328130",0,0,0,"",0,,
21895,37549,"31407",0,0,0,"",1,,
12251,28781,"604326",0,0,0,"",1,,
27000,49055,"6117302",0,0,0,"",1,1,921
19592,32952,"717343",1,0,0,"Офис",1,,
12251,28787,"604329",0,0,,"",0,,
19592,32953,"353762",0,0,0,"Выставочный зал",0,,
27001,49056,"763333",0,0,0,"",1,,
21382,49267,"380511",0,0,0,"",1,,
4512,7244,"212819",0,0,0,"",1,,
21194,36068,"47143",0,0,0,"",1,,
17276,28793,"453902",0,0,0,"Приемная",1,,
7309,49268,"579111",0,0,0,"",0,,
21785,37370,"22676",1,0,0,"",1,,
21786,37371,"34130",0,0,0,"",1,,
14199,28948,"963118",0,0,0,"Бухгалтерия",0,,
17416,28951,"36900",0,0,0,"Директор",1,,
19593,32956,"215628",0,0,0,"",1,,
21787,37372,"22538",1,0,0,"",1,,
21788,37373,"37558",0,0,0,"",1,,
19594,32957,"791528",0,0,0,"",1,,
4765,7618,"32601",0,0,0,"",1,,
17417,28953,"35810",0,0,0,"",1,,
17418,28955,"21123",0,0,0,"",1,,
856,49269,"350200",0,0,0,"",0,,
9842,36409,"303414",0,0,0,"",0,,
9842,36410,"507060",0,0,0,"",0,,
26967,49270,"763790",0,0,0,"",0,,
21789,37374,"25210",0,0,0,"",1,,
21791,37376,"31986",1,0,0,"",1,,
21792,37378,"31732",1,0,0,"",1,,
21796,37388,"22613",0,0,0,"",1,,
4969,7877,"34879",0,0,0,"",1,,
27144,49271,"374076",0,0,0,"",1,,
27144,49272,"603728",0,0,0,"",0,,
27145,49273,"0518168",0,0,0,"",1,1,952
27146,49274,"4510071",0,0,0,"",1,1,911
21437,36550,"31330",1,0,0,"",1,0,
21437,36551,"4676760",0,0,0,"",0,1,911
21438,36552,"32698",0,0,0,"",1,,
21438,36553,"8503452",0,0,0,"",0,1,921
21439,36554,"33831",0,0,0,"",1,,
21439,36555,"7843028",0,0,0,"",0,1,909
21481,36721,"34991",0,0,0,"Приемная",1,,
27147,49275,"682300",0,0,0,"",1,,
21799,37392,"22247",0,0,0,"",1,,
21800,37394,"26362",0,0,0,"",1,,
20271,53465,"22053",0,0,0,"",0,,
21801,37395,"22510",0,0,0,"",1,,
4870,7754,"320320",0,0,0,"",1,,
21802,37396,"22526",0,0,0,"",1,,
21803,37397,"37363",0,0,0,"",1,,
21804,37398,"23717",0,0,0,"",1,,
21806,37401,"34120",0,0,0,"",1,,
20271,53467,"22094",0,0,0,"Архивный отдел",1,,
260,49276,"900260",0,0,0,"",1,,
5917,9038,"215885",0,0,0,"",1,,
5017,53647,"934284",0,0,0,"Центральная лаборатория управления",1,,
6404,9615,"775335",0,0,0,"",0,,
18910,31862,"4604949",0,0,0,"",1,1,911
29361,53711,"924048",0,0,0,"Заместитель председателя комитета ",1,,
18911,31865,"563180",0,0,0,"",1,,
18912,31866,"758555",0,0,0,"",1,,
18913,31867,"750838",0,0,0,"",1,,
27148,49277,"900811",0,0,0,"",1,,
27149,49278,"772778",0,0,0,"",1,,
27150,49279,"900911",0,0,0,"",1,,
7334,11046,"775833",0,0,0,"",0,,
27151,49280,"2631035",0,0,0,"",1,1,962
27200,49375,"6134443",0,0,0,"",1,1,921
7361,11085,"461782",0,0,0,"",1,,
25664,49506,"555255",0,0,0,"",1,,
4186,11134,"217246",0,0,0,"",1,,
7399,11138,"982209",1,0,0,"",0,,
