"ADDRESS_ID","HOUSE","ENTRANCE","CASE","STAGE","OFFICE","CABINET","DISTRICT_ID","CITY_ID","STREET_ID","POST_INDEX_ID","OTHER","PAVILION","LITERA"
1859,"2","","","","","",,0,591,,"","",""
1863,"2","","","","307","",,0,63,,"","",""
1875,"3","","","","","",,0,460,,"","",""
1879,"40","","","","","",,0,83,,"ор-р — вход с ул. Уфимской","","3"
25931,"7","","","","501","",,0,515,,"","",""
1890,"3/5","","","3","13","",,0,680,,"","",""
1893,"10-14","","","","","",,0,438,,"","",""
1904,"17 Б","","","","","",,0,188,,"","",""
25932,"4","","","","","",,0,644,,"","",""
1930,"13","","","","","",,0,322,122,"","",""
25933,"2 В","","","","","",,74,1801,,"","",""
1971,"12/20","","","","","",,0,326,,"","",""
1973,"","","","","","",,0,,,"","",""
1974,"11","","","2","","",,0,200,,"","225",""
1977,"","","","","","",,8,,,"","",""
1978,"136","","","","","",,0,180,0,"","",""
1982,"1","","","","","",,0,348,,"","",""
1986,"12","","","","","",,0,34,,"","",""
1991,"3","","","","","",,0,129,8,"","",""
2002,"","","","","","",,0,,,"","",""
2008,"21","","","","","",,0,56,,"","",""
2035,"22 А","","","","","",,152,1266,,"","",""
2037,"28-30","","","","","",,0,369,,"","",""
2040,"14/16","","","","","",,0,766,,"","",""
25936,"230 Б","","","","","",,0,1155,,"","",""
25937,"188 А","","","","46","",,0,535,,"","",""
2051,"9-11","","","","","",,0,791,,"","",""
25938,"40","","","9","902","",,0,535,,"","",""
2053,"19","","","","","",,0,454,,"","",""
25939,"56 А","","","","","",,0,45,,"","",""
2056,"12","","","","","",,0,747,,"","",""
2057,"2","","","","","",,0,652,,"","",""
2058,"130","","","","","",,0,245,,"","",""
2059,"173","","","","","",,0,535,5,"","",""
2060,"106","","","","","",,0,926,,"","",""
2061,"181 А","","2","","","",,0,535,,"","",""
2062,"2","","","","","",,0,323,,"","",""
25107,"11","","","","","",,0,146,,"","",""
2065,"239","","","","","",,0,926,,"","",""
2067,"177","","","","","",,0,535,,"","",""
2068,"130","","","","","",,0,245,,"","",""
2069,"2","","","5","","",,0,744,,"","",""
2071,"188","","","","","",,0,535,,"","",""
2072,"244","","","","","",,0,245,122,"","",""
2075,"98","","","","","",,0,926,,"","",""
2080,"44 А","","","","","",,0,245,16,"","",""
2084,"105","","","","","",,0,874,,"","",""
2093,"113-117","","","","","",,0,54,,"","",""
2098,"48","","","","","",,0,6,,"","",""
2102,"2 В","","","","","",,235,1486,,"","",""
2106,"11 А","","","","","",,0,910,,"","",""
2110,"","","","","","",,0,6,0,"","",""
2112,"2","","","","","",,0,924,,"","",""
2120,"10","","","","","450",,0,1577,,"","",""
2129,"6","","","","15","",,0,874,,"","",""
2132,"2","","","","","",,0,212,,"","",""
25180,"18","","","3","309","",,0,438,,"","",""
2143,"17","","","3","304","",,0,389,,"","",""
1369,"10","","10","","","",,0,1577,,"","",""
25181,"17","","","","","",,0,389,,"","",""
1383,"25 А","","","","5","",,0,291,,"","",""
1807,"","","","","","",,0,,,"","",""
1814,"","","","","","",,0,,,"","",""
1817,"17 А","","","2","","20",,0,838,,"","",""
1911,"6","","","","","",,0,389,7,"","",""
25185,"53","","","","","",,0,407,,"","",""
1949,"29 А","","","","","",,0,585,20,"","",""
1953,"253","","","","","",,0,535,122,"","",""
1954,"","","","","","",,0,,,"","",""
1959,"150","","","","","",,0,214,,"","",""
1963,"83 А","","","","","",,0,214,15,"","",""
25186,"5 А","","","","","",,0,289,,"","",""
1999,"","","","","","",,0,,,"","",""
2006,"40 А","","","","","",,0,766,,"","",""
2014,"130","","","","","",,0,245,,"","",""
25247,"2","","","","","",,0,652,,"","",""
2151,"","","","","","",,0,,,"","",""
25248,"103 Б","","","","","",,0,800,,"","",""
