"ORG_ID","FACT_NAME","DATE_POSTED","PROJECT_ID","FROM_ID","SOC_RUBRIC","ACTIVE","MDF_USER","MDF_TIME","AUTHOR_USER","AGENT_ID"
22400,"Мармелад",06.03.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1022
18918,"Управление научно-исследовательских работ БФУ им. И. Канта",18.11.10,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
4141,"Фарма-Вита",24.10.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
4187,"Butique №1",25.10.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
22401,"Риксо ООО",06.03.13,1007,4,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
4243,"Montezemolo",25.10.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
4826,"БЛОКИРОВАН/999 Гостевой дом",31.10.07,1006,2,1,0,"GTS_ADMIN",26.11.12,"",1010
21321,"Адвокатский кабинет №294",30.05.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
21322,"Мозайка",30.05.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1008
21479,"Жёлтый смайл 39",28.06.12,1007,2,1,1,"GTS_ADMIN",04.02.14,"GTS_ADMIN",1013
2053,"Bugatti",12.09.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
3219,"Чернобыль Калининградский областной союз",04.10.07,1007,2,2,1,"GTS_ADMIN",11.11.13,"",1010
3667,"Форель Плюс",16.10.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
4490,"Золотой лотос Подростковый клуб",27.10.07,1007,2,2,1,"GTS_ADMIN",11.11.13,"",1007
4553,"№18 Библиотека детская Калининградской централизованной библиотечной системы",27.10.07,1007,2,2,1,"GTS_ADMIN",11.11.13,"",1007
3952,"Калининградская маслобаза",22.10.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
4628,"РЕНЕССАНС СТРАХОВАНИЕ ООО Отделение в г. Калининграде",29.10.07,1007,2,1,1,"GTS_ADMIN",29.01.14,"",1007
4795,"Вест Логистик",31.10.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
8598,"Правдинская средняя общеобразовательная школа",04.12.07,1007,3,2,1,"GTS_ADMIN",11.11.13,"",
8667,"Светловская средняя общеобразовательная школа №3",04.12.07,1007,3,2,1,"GTS_ADMIN",11.11.13,"",
8731,"Справедливая Россия Калининградское региональное отделение",04.12.07,1007,2,2,1,"GTS_ADMIN",13.11.13,"",1013
8839,"Вивальди",05.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
21480,"Intex Калининград",28.06.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
8980,"Дана Балт плюс",06.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1007
18648,"Наш дом УК",27.10.10,1007,2,2,1,"GTS_ADMIN",11.11.13,"KSENIJ",1021
16515,"Лидер",,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
8327,"Творческая мастерская архитектора В.Г. Еремеева",03.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
8685,"Орфей",04.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
23723,"Бином — кубки, медали",05.09.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
23724,"МедЭксперт скорая помощь (платная)",05.09.13,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
21757,"Апрель Медицинский центр",19.09.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
7922,"Балтийский мясопродукт",30.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
21758,"Passo центр podo педикюра",19.09.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
23730,"Baby Никс",10.09.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
21759,"НьюКосметик",19.09.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1004
21760,"Ковчег",19.09.12,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1007
21761,"Моя Япония",19.09.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1004
7494,"Ярославна",28.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
7512,"Базис-Бетон ООО",28.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
7548,"Альфа-Риэлти",28.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
7664,"Калининград ГТРК",29.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
21762,"Термобельё ",19.09.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1022
23731,"ibis hotels",10.09.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1022
18067,"COCCINELLE",,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
6961,"Железнодорожный Северный вокзал (Пригородное сообщение)",23.11.07,1007,2,2,1,"GTS_ADMIN",11.11.13,"",1010
22264,"Diplomat",31.01.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
16567,"Центр английского языка и культуры",,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
22265,"Кредо",31.01.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
18068,"Sasha Fabiani",,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
20825,"Московский финансово-юридический университет Калининградский филиал",28.11.11,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1007
6717,"НБТ/Всё для дома",20.11.07,1007,2,1,0,"GTS_ADMIN",07.10.13,"",1013
22266,"Есс-кафе",31.01.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
22267,"Victorias Angels",31.01.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1004
6859,"ВАНГ-ТУР",22.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
6946,"Дизайн-студия Галины Востровой",23.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
22268,"Ирина ",31.01.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
22269,"ITCenter39.ru",31.01.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
9552,"Нотариус Макунина К.Р.",11.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
9070,"Грация Центр профессиональной косметологии",06.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
9571,"Нотариус Яблонская И.С.",11.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
9289,"Балт-Пак",07.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
17998,"Диалог-Автолак",,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1022
9329,"Малибу",07.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
22402,"Корпорация права ООО",06.03.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
11413,"Бирь Рекламное агентство",22.09.08,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
10675,"Нива-Строй Мастер",24.07.08,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
22403,"Футляр",06.03.13,1007,4,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
22404,"Грозный, Ключанских и партнеры",06.03.13,1007,4,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
22407,"Принт-Люкс",06.03.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1010
9615,"Спутник-Райзен ООО",31.03.08,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
9680,"Калининградгеолторг",02.04.08,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
9860,"Представительство МИД РФ в Калининграде ",23.04.08,1007,2,2,1,"GTS_ADMIN",11.11.13,"",1007
22406,"Компьютер и Я",06.03.13,1007,4,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
9919,"Панда",12.05.08,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1004
23916,"А9 ООО",07.10.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1022
10017,"Ресторан ТРЦ Эпицентр",03.06.08,1007,2,1,1,"GTS_ADMIN",18.12.13,"",1013
23917,"Совет депутатов Гурьевского МР",07.10.13,1007,3,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
22411,"Свирже",11.03.13,1007,4,1,1,"GTS_ADMIN",18.12.13,"GTS_ADMIN",
23918,"Гурьевская ветеринарная станция",07.10.13,1007,3,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
10486,"Нордбитум",04.07.08,1007,2,1,1,"GTS_ADMIN",07.02.14,"",1013
10548,"Октопус",14.07.08,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
22410,"Страж",06.03.13,1007,4,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",
8423,"Лаудон",03.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
